Date : 2024-11-02 08:54:57
Directory : e:\fosi_stuff\E30\proj_by_RTOS
Total : 134 files,  62499 codes, 39044 comments, 17150 blanks, all 118693 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM7_LPC21xx\portASM.s   | ARM                |         69 |         25 |         31 |        125 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM7_LPC21xx\portmacro.h | C++                |         51 |         72 |         27 |        150 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CA9\port.c           | C                  |        241 |        168 |         72 |        481 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CA9\portASM.s        | ARM                |        115 |         25 |         35 |        175 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CA9\portmacro.h      | C++                |         71 |         58 |         34 |        163 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM0\port.c           | C                  |        264 |        195 |         89 |        548 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM0\portmacro.h      | C++                |         53 |         51 |         20 |        124 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM3\port.c           | C                  |        323 |        281 |        113 |        717 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM3\portmacro.h      | C++                |        132 |         88 |         45 |        265 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM4F\port.c          | C                  |        360 |        318 |        131 |        809 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM4F\portmacro.h     | C++                |        132 |         89 |         44 |        265 |
| e:\fosi_stuff\E30\proj_by_RTOS\freeRTOS\portable\RVDS\ARM_CM4_MPU\port.c       | C                  |        541 |        284 |        152 |        977 |
